"match1","match2","match3","match4","match5","din","npn"
"calcium",NULL,NULL,NULL,NULL,NULL,"80000177"
"calcium","vitamin d",NULL,NULL,NULL,NULL,"80007620"
"calcium","magnesium",NULL,NULL,NULL,NULL,"02040875"
"calcium","vitamin d","magnesium",NULL,NULL,NULL,"02040905"
"b3",NULL,NULL,NULL,NULL,NULL,"80004529"
"b 3",NULL,NULL,NULL,NULL,NULL,"80004529"
"vitamin b",NULL,NULL,NULL,NULL,NULL,"00122645"
"b6",NULL,NULL,NULL,NULL,NULL,"00122645"
"b 6",NULL,NULL,NULL,NULL,NULL,"00122645"
"b12",NULL,NULL,NULL,NULL,NULL,"00406988"
"b 12",NULL,NULL,NULL,NULL,NULL,"00406988"
"vitamin c",NULL,NULL,NULL,NULL,NULL,"80021855"
"d-tabs",NULL,NULL,NULL,NULL,NULL,"00765384"
"d tabs",NULL,NULL,NULL,NULL,NULL,"00765384"
"vitamin d",NULL,NULL,NULL,NULL,NULL,"00765384"
"aspirin low dose",NULL,NULL,NULL,NULL,"02237726",NULL
"aspirin daily low dose",NULL,NULL,NULL,NULL,"02237726",NULL
"low dose aspirin",NULL,NULL,NULL,NULL,"02237726",NULL
"daily low dose aspirin",NULL,NULL,NULL,NULL,"02237726",NULL
"asa low dose",NULL,NULL,NULL,NULL,"02237726",NULL
"asa daily low dose",NULL,NULL,NULL,NULL,"02237726",NULL
"low dose asa",NULL,NULL,NULL,NULL,"02237726",NULL
"daily low dose asa",NULL,NULL,NULL,NULL,"02237726",NULL
"fish oil",NULL,NULL,NULL,NULL,NULL,"80003210"
"halibut liver oil",NULL,NULL,NULL,NULL,NULL,"80003210"
"halibut oil",NULL,NULL,NULL,NULL,NULL,"80003210"
"salmon oil",NULL,NULL,NULL,NULL,NULL,"80003210"
"multivitamin",NULL,NULL,NULL,NULL,NULL,"80068809"
"multi-vitamin",NULL,NULL,NULL,NULL,NULL,"80068809"
"multi vitamin",NULL,NULL,NULL,NULL,NULL,"80068809"
